row_type,id,classification,expected,actual,pass,m,k,inserted_count,absent_query_count,set_bit_count,occupancy_ratio,predicted_fpr,occupancy_fpr,false_positive_count,false_positive_rate,true_negative_count,false_negative_count,filter_hex
correctness,ctor_m1,success,success,success,true,,,,,,,,,,,,,
correctness,ctor_m8,success,success,success,true,,,,,,,,,,,,,
correctness,ctor_m9,success,success,success,true,,,,,,,,,,,,,
correctness,ctor_normal,success,success,success,true,,,,,,,,,,,,,
correctness,ctor_m0,invalid_bit_count,invalid_bit_count,invalid_bit_count,true,,,,,,,,,,,,,
correctness,ctor_m_neg,invalid_bit_count,invalid_bit_count,invalid_bit_count,true,,,,,,,,,,,,,
correctness,ctor_m_true,invalid_bit_count,invalid_bit_count,invalid_bit_count,true,,,,,,,,,,,,,
correctness,ctor_m_str,invalid_bit_count,invalid_bit_count,invalid_bit_count,true,,,,,,,,,,,,,
correctness,ctor_k0,invalid_hash_count,invalid_hash_count,invalid_hash_count,true,,,,,,,,,,,,,
correctness,ctor_k_neg,invalid_hash_count,invalid_hash_count,invalid_hash_count,true,,,,,,,,,,,,,
correctness,ctor_k_true,invalid_hash_count,invalid_hash_count,invalid_hash_count,true,,,,,,,,,,,,,
correctness,ctor_k_str,invalid_hash_count,invalid_hash_count,invalid_hash_count,true,,,,,,,,,,,,,
correctness,ctor_k_big,invalid_hash_count,invalid_hash_count,invalid_hash_count,true,,,,,,,,,,,,,
correctness,pos_empty,success,success,success,true,,,,,,,,,,,,,
correctness,pos_ascii,success,success,success,true,,,,,,,,,,,,,
correctness,pos_embedded_zero,success,success,success,true,,,,,,,,,,,,,
correctness,pos_utf8,success,success,success,true,,,,,,,,,,,,,
correctness,item_reject_str,invalid_item,invalid_item,invalid_item,true,,,,,,,,,,,,,
correctness,item_reject_bytearray,invalid_item,invalid_item,invalid_item,true,,,,,,,,,,,,,
correctness,item_reject_memoryview,invalid_item,invalid_item,invalid_item,true,,,,,,,,,,,,,
correctness,add_present,present_match,present_match,present_match,true,,,,,,,,,,,,,
correctness,absent_empty,absent_match,absent_match,absent_match,true,,,,,,,,,,,,,
correctness,duplicate_idempotent,success,success,success,true,,,,,,,,,,,,,
correctness,order_independent,success,success,success,true,,,,,,,,,,,,,
correctness,duplicate_positions,success,success,success,true,,,,,,,,,,,,,
correctness,bit_one,success,success,success,true,,,,,,,,,,,,,
correctness,bit_cross_byte,success,success,success,true,,,,,,,,,,,,,
correctness,m_not_div8,success,success,success,true,,,,,,,,,,,,,
correctness,serialize_roundtrip,success,success,success,true,,,,,,,,,,,,,
correctness,from_bytes_short,invalid_state,invalid_state,invalid_state,true,,,,,,,,,,,,,
correctness,from_bytes_long,invalid_state,invalid_state,invalid_state,true,,,,,,,,,,,,,
correctness,from_bytes_unused_bits,invalid_state,invalid_state,invalid_state,true,,,,,,,,,,,,,
correctness,caller_unchanged,success,success,success,true,,,,,,,,,,,,,
correctness,no_false_negatives,success,success,success,true,,,,,,,,,,,,,
correctness,false_positive_case,false_positive,false_positive,false_positive,true,,,,,,,,,,,,,
experiment,compact,,,,true,64,3,20,128,41,0.640625000000,0.225193352609,0.262912750244,37,0.289062500000,91,0,fddb4c9b7b63fb92
experiment,balanced,,,,true,256,4,40,256,125,0.488281250000,0.046648198329,0.056843418861,12,0.046875000000,244,0,0048d727695ebf8a7defaa4a08abc8833508d6f13ee219b882d8d28b496377a6
experiment,spacious,,,,true,1024,7,80,512,428,0.417968750000,0.002353634346,0.002228469460,1,0.001953125000,511,0,03129d4f241516048d49ba02adc2c2875928809929f01d8a8e1a03110c42f297c56157fb685d27686a26cac9686108913e4dd6b94a2ae2189e015983daf7110c0025445d0b96610a7f798144e322fb1b0680d9225aea4c982d6ec353c8756724c52ad000d07ec98b81a1074e0e2ac8313741b8402cc642a003c0c24bcd00110e
